id;Kanji;Grade;"Reading within Joyo";"Reading beyond Joyo";"On within Joyo";"Translation of On";"Kun within Joyo";"Translation of Kun";Left1sound;Left2sound;Left3sound;Left4sound;Left5sound;Left6sound;Right1sound;Right2sound;Right3sound;Right4sound;Right5sound;Right6sound;Right7sound
513;月;1;ゲツ、ガツ、つき;;"getsu, 	gatsu";"moon; month; Monday; month (of the year)";tsuki;"moon; month";getu;geQ;tuki;;;;getu;tuki;gatu;ki;;;
514;犬;1;ケン、いぬ;;ken;dog;inu;"dog, spy";ken;inu;;;;;ken;inu;;;;;
516;見;1;ケン、み-る、み-える、み-せる;まみ、ら;ken;"hopes, chances; ideas, opinion";"mi(ru), mi(eru), mi(seru)";"see, look at, witness, observe; regard as; sightsee; look through; examine; consult (a lexicon); tell (one’s future); estimate; care for; try, test; be seen, be visible, be in sight; look like, seem, appear; come, show up; be found";mi;ken;;;;;ken;mi;;;;;
772;糸;1;シ、いと;;shi;"thread; one ten-thousandth of a hair";ito;"thread, yarn; gut; string (of a violin); (fish) line  ";ito;;;;;;ito;si;;;;;
2074;力;1;リョク、リキ、ちから;つと;"ryoku, 	riki";"strain, bear up, exert one's strength; swagger, bluff, boast. strength. power";chikara;"strength, energy, force, might, power; agency; authority, influence; vigor; stress, emphasis; exertions, endeavors; efficacy; help, support, good offices; ability, faculty, capability, attainment; means, resources ";riki;riQ;tikara;;;;ryoku;riki;kara;;;;
2076;林;1;リン、はやし;;rin;forest;hayashi;forest;rin;;;;;;rin;bayasi;;;;;
1312;大;1;ダイ、タイ、おお、おお-きい、おお-いに;ダ;"dai, 	tai";"large, huge, grand; the greater; size; very; inveterate (smoker); severe (damage); success";"oo, oo(kii), oo(ini)";"large, great, grand, mighty, immense; severe; heavy. very, much, greatly, exceedingly. heavy (rain); loud (voice); full-size, life-size";tai;oo;dai;;;;dai;tai;;;;;
1061;森;1;シン、もり;;shin;"woods, grove";mori;"woods, grove";sin;;;;;;sin;;;;;;
807;字;1;ジ、あざ;;ji;"character, letter, word, handwriting";aza;"section of a village";zi;;;;;;zi;aza;;;;;
41;一;1;イチ、イツ、ひと、ひと-つ;;"ichi, 	itsu";"one, a";"hito, hito(tsu)";"one, a unit; the same; just; once";iQ;iti;hito;;;;itu;iti;;;;;
1577;二;1;ニ、ふた、ふた-つ;ジ;ni;"two, second";"futa, futa(tsu)";two;ni;zi;huta;;;;ni;zi;;;;;
810;耳;1;ジ、みみ;;ji;ear;mimi;"ear; edge, border; loop; selvage; bread crusts";zi;mimi;;;;;mimi;zi;;;;;
1070;人;1;ジン、ニン、ひと;;"jin, 	nin";"man, person, people";hito;"man, human being, mankind, person, people; character, personality; true man; man of talent; adult; other people; messenger; visitor";zin;nin;hito;;;;zin;nin;bito;hito;;;
1583;日;1;ニチ、ジツ、ひ、か;;"nichi, 	jitsu";"day; Sunday";"hi, ka";"sun; time; day, date";niQ;niti;hi;bi;zitu;;zitu;niti;bi;hi;;;
1584;入;1;ニュウ、い-る、い-れる、はい-る;ジュ、しお;nyuu;"go in, come in; flow into; set; set in ";"i(ru), i(reru), hai(ru)";"go in, come in; flow into; set; set in. put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in; insert; set (jewels); employ; listen to; tolerate, comprehend; include; pay (interest); cast (votes). enter; break into; join; enroll; contain, hold; accommodate; have (an income of) ";nyuu;i;zyu;;;;nyuu;i;;;;;
305;気;1;キ、ケ;いき;"ki, 	ke";"spirit, mind, soul, heart; intention; bent, interest; mood, feeling; temper, disposition, nature; care, attention; air, atmosphere; flavor; odor; energy, essence; indications, symptoms; taste; touch, dash, shade, trace; spark, flash; suspicion";-;-;ki;gi;ke;;;;ki;ke;ge;gi;;;
1081;水;1;スイ、みず;;sui;"water; ice water; Wednesday";mizu;water;sui;mizu;;;;;sui;mizu;zui;;;;
1593;年;1;ネン、とし;;nen;"year; term of service";toshi;"year; age, time of life";nen;tosi;;;;;nen;tosi;dosi;;;;
58;右;1;ウ、ユウ、みぎ;;"u, 	yuu";"right, right hand";migi;"right, right hand";migi;u;yuu;;;;yuu;u;;;;;
61;雨;1;ウ、あめ、[あま];;u;"rain, fainfall";"ame, [ama]";"rain, rainfall";u;ama;ame;;;;u;ame;;;;;
829;七;1;シチ、なな、なな-つ、[なの];シツ;shichi;seven;"nana, nana(tsu), [nano]";seven;siti;nana;siQ;;;;;;;;;;
576;五;1;ゴ、いつ、いつ-つ;;go;five;"itsu, itsu(tsu)";"five; five years old";go;;;;;;;;;;;;
1348;男;1;ダン、ナン、おとこ;;"dan, 	nan";"man, male; baron. counter for sons";otoko;"man, male; fellow; adult; manhood; male servant; paramour";dan;otoko;nan;;;;nan;otoko;;;;;
587;口;1;コウ、ク、くち;;"koo, 	ku";mouth;kuchi;"mouth, lips; speech, words; one's taste, stopper, plug; nozzle, orifice, slit, aperture; door, gate, entrance; route, ascent; employment, job; call (for a doctor); share; kind, lot, brand; beginning; rumor, opening (of a boil)";koo;ku;;;;;gu;koo;ku;;;;
843;車;1;シャ、くるま;;sha;"vehicle, a vehicle load";kuruma;"wheel; vehicle, carriage, wagon; cart, wheelbarrow; go-cart; jinricksha; van, automobile";sya;kuruma;;;;;sya;guruma;;;;;
2125;六;1;ロク、む、む-つ、むっ-つ、[むい];リク;roku;six;"mu, mu(tsu), mut(tsu), [mui]";six;roku;roQ;riku;;;;roku;;;;;;
1106;正;1;セイ、ショウ、ただ-しい、ただ-す、まさ;;"sei, 	shoo";"right, righteousness, justice; original; plus, positive; genuine. just; punctual; senior. Regular";"tada(shii), tada(su), masa";"correct; adjust; reform; redress, straighten; amend. right, righteous, just; honest, truthful, proper, lawful; healthy; moral; straight; straightforward; perfect ";sei;syoo;masa;;;;sei;syoo;zyoo;;;;
1107;生;1;セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま;な;"sei, 	shoo";"birth; life, existence, living; subsistence; student ";"i(kiru), i(kasu), i(keru), u(mareru), u(mu), o(u), ha(eru), ha(yasu), ki, nama";"grow, spring up; cut (teeth). cultivate, wear (a beard). revive, resuscitate; restore to life; let live, spare a life; make the most of; give life to; stet. keep alive; arrange flowers (in a vase); living. live, subsist, exist; be enlivened; be safe (on first). be born. bear, give birth to, breed, spawn; produce, yield (interest). raw, uncooked, fresh; unripe; half-boiled; rare; hard cash; impertinent, conceited; inexperienced; (beer) on tap; crude (rubber), unprocessed. pure, undiluted, genuine; raw, crude ";sei;syoo;ki;nama;i;;sei;zyoo;syoo;zei;nama;ha;
1876;木;1;ボク、モク、き、[こ];;"boku, 	moku";"tree, Thursday";"ki, [ko]";"tree; wood; timber; lumber; wooden clappers";moku;ki;moQ;ko;boku;boQ;boku;ki;gi;moku;;;
1366;竹;1;チク、たけ;;chiku;bamboo;take;"bamboo; bamboo wind instrument";tiku;take;;;;;tiku;dake;take;;;;
87;円;1;エン、まる-い;まど;en;"circle; yen";maru(i);"round, circular, spherical";en;;;;;;en;;;;;;
1115;青;1;セイ、[ショウ]、あお、あお-い;;"sei, [shoo]";"blue, green; green light";"ao, ao(i)";"blue, green; green light, pale; unripe, green";sei;ao;;;;;zyoo;sei;syoo;;;;
1630;白;1;ハク、ビャク、しろ、[しら]、しろ-い;;"haku, 	byaku";white;"shiro, [shira], shiro(i)";"white, fair (skin); gray (hair); blank (paper); spotless; innocent. feigned ignorance ";haku;siro;sira;haQ;byaQ;byaku;haku;paku;ziro;siro;;;
1886;本;1;ホン、もと;;hon;"book; this, the same, the present, the current; main; true; real; regular, normal; counter for long things ";moto;"beginning, origin; foundation, basis, source; cause; root (of a tree); (raw) material, base; capital; principal; cost; forebears; formerly";hon;moto;;;;;hon;pon;moto;;;;
863;手;1;シュ、て、[た];ズ;shu;"hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury";"te, [ta]";"hand, arm; help; handwriting; handle, means; trick, snare; skill; kind; direction, side; trouble, care; control, management; possession; connection; injury";te;syu;ta;;;;syu;te;zu;de;;;
1376;中;1;チュウ、[ジュウ]、なか;うち、あ;"chuu, [jyuu]";"center, middle; middle (course); (golden) mean; medium, mediocrity, average; second volume (of three) ";naka;"inside, interior, midst, middle, mean, midway ";tyuu;naka;;;;;tyuu;naka;zyuu;;;;
1378;虫;1;チュウ、むし;;chuu;"worm, vermin, bug, insect; temper; nervousness, peevishness; bad company ";mushi;"worm, vermin, bug, insect; temper; nervousness, peevishness; bad company ";musi;tyuu;;;;;tyuu;musi;;;;;
359;九;1;キュウ、ク、ここの、ここの-つ;;"kyuu, 	ku";nine;"kokono, kokono(tsu)";nine;kokono;ku;kyuu;;;;ku;;;;;;
105;王;1;オウ;;oo;"king, rule, magnate, baron";-;-;oo;;;;;;oo;;;;;;
365;休;1;キュウ、やす-む、やす-まる、やす-める;;kyuu;"rest; take a day off; be absent; retire, sleep";"yasu(mu), yasu(maru), yasu(meru)";"rest; take a day off; be absent; retire, sleep; rest (oneself); let idle; suspend; have (someone) rest; set at ease, give relief to; fallow (land); be rested, feel at ease, repose, be relieved";kyuu;;;;;;kyuu;;;;;;
623;校;1;コウ;ギョウ;koo;"school; (printing) proof; comparison; correction; investigation";-;-;koo;;;;;;koo;gyoo;;;;;
1647;八;1;ハチ、や、や-つ、やっ-つ、[よう];ハツ;hachi;eight;"ya, ya(tsu), yat(tsu), [yoo]";eight;hati;haQ;ya;;;;hati;;;;;;
1138;夕;1;セキ、ゆう;;seki;evening;yuu;evening;yuu;;;;;;yuu;seki;;;;;
1140;石;1;セキ、[シャク]、[コク]、いし;;"seki, [shaku], [koku]";"stone, pebble, rock; jewel; the go playing stones. 4.96 bushels; 10 cubic feet (of lumber)";ishi;"stone, pebble, rock; jewel; the go playing stones";seki;isi;seQ;koku;;;seki;isi;zyaku;syaku;;;
1396;町;1;チョウ、まち;;choo;"town; block; street; 2.45 acres; 119 yards";machi;"town; quarters; street";tyoo;mati;;;;;tyoo;mati;;;;;
1141;赤;1;セキ、[シャク]、あか、あか-い、あか-らむ、あか-らめる;;"seki, [shaku]";"red, crimson, scarlet";"aka, aka(i), aka(ramu), aka(rameru)";"red, crimson, scarlet, Communist, Red. become red. blush, redden";aka;seki;syaQ;syaku;seQ;;seki;;;;;;
127;音;1;オン、イン、おと、ね;;"on, 	in";"sound; noise; pronunciation; tone";"oto, ne";"sound, noise, roar; fame; tone, note, voice, chirping";on;ne;in;;;;on;ne;oto;in;;;
131;下;1;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;;"ka, 	ge";"low class; inferiority; second, or last volume";"shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru)";"come down, go down; get down, descend; be given; be less than; have diarrhea; retire; leave the capital; give, confer; oblige, favor with; let down, lower; issue (orders); hand down (decisions); have diarrhea; lay (hands) on; step down; get off; swoop down; land; take down, pull down, lift down, drop; launch; let off (passengers); wear (for the first time); cause (abortion); grate; invoke; exercise; borrow (in subtraction); lock; hang down, dangle; fall; abate; wane; stand back; go behind; be granted; hang; wear (a decoration); reduce (rank); move back; let go, dismiss; remove; grant; draw (money), withdraw; lower part, bottom, base, foot; downstairs; subordinate place; below average; part payment; under, lower; sub-, subordinate; preliminary; the foot; lower stream; latter; lower part of the body; the masses, the servants; the governed; vicinity";ge;ka;sita;simo;;;ka;sita;ge;simo;moto;zimo;
133;火;1;カ、ひ、[ほ];コ;ka;"fire, Tuesday";"hi, [ho]";"fire, flame, blaze";ka;hi;ho;ko;;;ka;bi;bo;ga;;;
1926;名;1;メイ、ミョウ、な;;"mei, 	myoo";"distinguished, noted, wise, name";na;"name; fame, reputation; pretext";mei;na;myoo;;;;mei;myoo;na;;;;
138;花;1;カ、はな;ケ、ゲ、あや;ka;flower;hana;"flower, blossom; cherry blossoms; essence, spirit, pride; pearl; youth; best days; beautiful woman, flower arrangement; flower-card game";hana;ka;;;;;ka;bana;hana;;;;
907;十;1;ジュウ、ジッ、とお、と;;"juu, 	jiQ";ten;"too, to";ten;zyuu;ziQ;;;;;;;;;;;
1166;千;1;セン、ち;;sen;"thousand, many";chi;"thousand, many";ti;sen;;;;;ti;sen;;;;;
1167;川;1;セン、かわ;;sen;"river, stream, brook";kawa;"river, stream, brook";sen;kawa;;;;;sen;gawa;kawa;;;;
1170;先;1;セン、さき;ま;sen;"the future; priority, precedence";saki;"point, tip, end; nozzle; head (of a line); the first priority; the future; objective, destination; sequel, remainder; the other party; future ";sen;saki;;;;;sen;saki;zaki;;;;
1947;目;1;モク、[ボク]、め、[ま];;"moku, [boku]";"item, division, class; order (of plants or animals)";"me, [ma]";"eye; look, gaze; notice, attention; viewpoint; discrimination, insight; experience; treatment; care, favor, pity; texture, weave; mesh; grain, square; sight, vision; tooth (of a saw); weight; momme (0.1325 oz.); eye (of a needle) ";moku;me;moQ;ma;;;moku;me;boku;ma;;;
926;出;1;シュツ、[スイ]、で-る、だ-す;;"shutsu, [sui]";"born of; appearing from; going out; sending out";"de(ru), da(su)";"appear, come out, emerge; haunt, infest; be found, get back; be served (meals); lead to, enter; find (oneself) at; come out (as a result); leave, go out, get out; attend, appear; work (at); participate; launch (into); run (for an office); be published; sell; depart; graduate; break out, originate; be raised, be produced; issue from, be traced to, derive from, stem from; protrude, stick out; exceed; interfere; intrude. put out, take out, pull out, stick out; draw (a gun); stretch out, extend; save (from a fire); expose, bare; exhibit; send, forward, post; publish; hoist (a flag); hang out; present, send in, tender, submit; serve; run (extra trains); produce; pay, contribute; invest; advance (money)";syuQ;syutu;de;sui;da;;syutu;de;;;;;
682;左;1;サ、ひだり;;sa;"left; the following";hidari;"left; the left; leftist";sa;hidari;;;;;hidari;sa;;;;;
427;玉;1;ギョク、たま;;gyoku;"gem, jewel, precious stone, jade";tama;"ball, bowl, sphere, bulb; lens; gem, jewel, bullet, shot, shell; billiards; tool, cat’s paw; pretty girl; person; margin (in stocks); testicles";gyoku;tama;;;;;dama;gyoku;tama;;;;
432;金;1;キン、コン、かね、[かな];こがね;"kin, 	kon";"gold; money; Friday";"kane, [kana]";"money, metal";kin;kana;kon;kane;;;kin;gin;gane;gon;;;
1716;百;1;ヒャク;もも;hyaku;"hundred; a great number; all";-;-;hyaQ;hyaku;momo;;;;pyaku;;;;;;
952;女;1;ジョ、ニョ、[ニョウ]、おんな、め;;"jo, nyo, [nyoo]";"woman, girl, daughter";"onna, me";"woman, female, sweetheart, girl";zyo;nyoo;me;onna;nyo;;zyo;onna;nyo;me;;;
959;小;1;ショウ、ちい-さい、こ、お;;shoo;"smallness; minor; small. humility prefix, small ";"chii(sai), ko, o";"small, little, diminutive, minute, fine, trivial. short; pretty; petty; nearly. nice";syoo;ko;o;;;;syoo;;;;;;
1472;天;1;テン、あめ、[あま];;ten;"sky, air, heavens, celestial sphere, firmament; heaven, Providence, God, Nature; destiny; weather; top; beginning ";"ame, [ama]";"sky, heaven. Heavenly";ten;;;;;;ten;;;;;;
1219;早;1;ソウ、[サッ]、はや-い、はや-まる、はや-める;さ;"soo, [saQ]";"quick, fast, speedy; brisk, prompt; early; premature";"haya(i), haya(maru), haya(meru)";"quick, fast, speedy; brisk, prompt; early; premature. hasten, precipitate, accelerate, expedite; advance (the date). be hasty, be rash";soo;haya;sa;;;;soo;baya;;;;;
196;貝;1;かい;;-;-;kai;"shell, shellfish";kai;;;;;;gai;;;;;;
452;空;1;クウ、そら、あ-く、あ-ける、から;むな;kuu;"air, sky; emptiness; vanity, unreality; hollow; void";"sora, a(ku), a(keru), kara";"become empty, be less crowded; empty; sky, heavens, air, weather, memory, absent-mindedness";kuu;kara;sora;a;;;kuu;zora;sora;;;;
1480;田;1;デン、た;かり、がり;den;"rice field, paddy field";ta;"rice field, paddy field";den;ta;;;;;den;da;ta;;;;
1225;草;1;ソウ、くさ;;soo;"grass; grass hand (writing); weeds; herbs, plants, pasture";kusa;"grass; grass hand (writing); weeds; herbs, plants, pasture";soo;kusa;zoo;;;;soo;kusa;gusa;zoo;;;
1493;土;1;ド、ト、つち;ツ;"do, 	to";"earth, ground; Saturday; Turkey";tsuchi;"earth, soil, ground";do;to;tuti;tu;;;do;tuti;;;;;
